time,gt_x,gt_y,linear_x,linear_y,bayesian_x,bayesian_y,particle_x,particle_y,error_linear,error_bayesian,error_particle
15.046,1.0,0.7,0.22937546008277337,-0.48434831576979115,42.00221335497691,-88.15953662641127,43.20628137386155,-89.02875940983047,7.354691987433731,1318.0640513539893,1312.0419059105313
15.090899,1.0,0.7,0.23239263170363778,-0.4876729816008979,42.20819196634433,-88.74071008973225,43.47172241068849,-89.57840180111478,7.379739183013867,1326.2145884542745,1320.1592900970304
15.132314,1.0,0.7,0.23416144435729938,-0.48886972784928384,42.540843515721505,-89.21568068278619,43.738312898694005,-90.12798958477191,7.407267942217638,1334.3657991635534,1328.3062030087303
15.174985,1.0,0.7,0.23353793900884995,-0.48911785514866235,42.70946092571116,-89.79268198067558,44.00301183091567,-90.6772352606234,7.431144335206364,1342.5488714441924,1336.4751821486313
15.22085,1.0,0.7,0.2315569302302469,-0.4893869874825979,42.97836279183859,-90.31603839706096,44.26494340305269,-91.226725786915,7.452944711998272,1350.7744750318184,1344.6645712138577
15.269573,1.0,0.7,0.23321816109315402,-0.49017403366939916,43.27048916460281,-90.84859196937646,44.5305630149924,-91.77718806502656,7.476999564906881,1358.9706090350091,1352.8799968522574
15.315063,1.0,0.7,0.23389913377392585,-0.49176522026264824,43.52168687117362,-91.41836789731477,44.79633218962179,-92.32975423485975,7.5018233997382975,1367.2416900557803,1361.120877726115
15.363508,1.0,0.7,0.2348382659591354,-0.49346490685714944,43.78101324922416,-92.00596679503451,45.06318751125903,-92.88401769481662,7.526413838281003,1375.528451902558,1369.3865961300296
15.401653,1.0,0.7,0.23272058117452116,-0.4937257020549177,44.06696004931932,-92.5140918258264,45.32620819995003,-93.43771850551997,7.551502381858495,1383.9005837463997,1377.6776776260506
15.450068,1.0,0.7,0.232950377161101,-0.495949238484691,44.31501726358763,-93.12827948969999,45.590646075083015,-93.99467319652418,7.57606970395479,1392.2169360623477,1385.9932006500917
15.495067,1.0,0.7,0.23324276103985278,-0.49692302604130134,44.58575972217137,-93.67329031726892,45.85542442854191,-94.55199783839771,7.598269912597802,1400.5613634105084,1394.3299129467218
15.543981,1.545685,0.768759,0.2339880985742741,-0.49858132580783776,44.85026474253433,-94.1438021349868,46.12118720356048,-95.11129947105358,7.704270280892992,1408.9212956113706,1402.674274657674
15.582184,1.545685,0.768759,0.23716705104869484,-0.5015988645461112,45.14408864634368,-94.76546589608606,46.391431888557236,-95.6742813712529,7.72802370484469,1417.3485508846518,1411.0579032199025
15.623706,1.545685,0.768759,0.23844946708436895,-0.5048866423313766,45.37871992888572,-95.29481061704675,46.66195378242238,-96.24079903485976,7.752136617821038,1425.7396585135834,1419.466185401445
15.665264,1.545685,0.768759,0.239342277876142,-0.5066461129661955,45.66891443659032,-95.8949072256201,46.93324630818391,-96.80831562719392,7.775854585518069,1434.1429999684046,1427.898613145137
15.710301,1.545685,0.768759,0.23925760321146625,-0.5082001315373685,45.909432590611864,-96.45327885880617,47.20397477383317,-97.3773350187893,7.800244216901764,1442.7121484808274,1436.3560836075494
15.759186,1.545685,0.768759,0.23913681462198225,-0.5094285103894061,46.17351476123228,-97.01054916945874,47.474529917735055,-97.94728992770858,7.824241955247145,1451.136875641188,1444.8378678482045
15.804278,1.545685,0.768759,0.23971776098521907,-0.5121296686541524,46.4258552409649,-97.56211063372446,47.74595806482673,-98.52072087088517,7.847922587024727,1459.6921812119504,1453.343522623609
15.845688,1.545685,0.768759,0.2403846595292935,-0.5143810151842462,46.71989708607118,-98.17063064389983,48.01815388076552,-99.0961774374964,7.872982070197814,1468.2029517895637,1461.8756399004308
15.89073,1.545685,0.768759,0.23949132338166493,-0.5154053065929018,46.94395206202536,-98.7616155757299,48.28861006661689,-99.67208696992508,7.898643065937104,1476.833324782794,1470.4340531376843
15.939209,1.545685,0.768759,0.24054074706261266,-0.5172282248160444,47.17802044032926,-99.32691216132739,48.561161296322,-100.25013346482311,7.923062668533502,1485.388835895261,1479.0171127537387
15.977064,1.545685,0.768759,0.2406035094704492,-0.5184688526809453,47.44912934027998,-99.84637405869084,48.833198970396545,-100.82916900919031,7.947295926704071,1494.0025661656637,1487.6245886191252
16.02554,1.545685,0.768759,0.24118207793501598,-0.5201314843863423,47.76707476066673,-100.51854582062334,49.106040584766745,-101.410033374999,7.972083038398065,1502.7323898845939,1496.2577770178368
16.070413,1.545685,0.768759,0.24170892925840778,-0.5215885333247419,48.03191345872375,-101.04620048821262,49.379454448296784,-101.99218340920557,7.9967709599030785,1511.3707447757292,1504.9162090288155
