time,gt_x,gt_y,linear_x,linear_y,bayesian_x,bayesian_y,particle_x,particle_y,error_linear,error_bayesian,error_particle
8.312704,1.0,0.7,0.11147690705611359,-0.23322948638571506,12.176273265323122,-25.480069351291345,12.16144661377889,-25.67977168463722,3.7032302279418867,381.638081782263,378.0583372355292
8.35757,1.0,0.7,0.11229031739265301,-0.23490885202032247,12.3308301800305,-25.802842360828834,12.30095100862386,-25.973921489054874,3.7268768191604478,386.0387858678675,382.41507747965056
8.399128,1.0,0.7,0.11311519772602889,-0.23655984227788188,12.46300959455655,-26.085097089774035,12.441369919773203,-26.269755985124142,3.7505103757364218,390.36399871927006,386.79675992928486
8.444192,1.0,0.7,0.11390016226322401,-0.23821081665927107,12.550480561817002,-26.3887608535157,12.58243380594844,-26.567233860033063,3.7741659308692426,394.8385087189063,391.2034643980107
8.492773,1.0,0.7,0.11467939764377652,-0.23988451337952083,12.734881623368114,-26.704326508532485,12.724305498982583,-26.866435800023257,3.797862164486124,399.2970008780059,395.63528426333295
8.538115,1.0,0.7,0.11543578503411978,-0.24152413138760032,12.901858569059591,-26.983412441523097,12.866999110664617,-27.16731727691522,3.8215724621034677,403.813665741,400.09207902965477
8.579903,1.0,0.7,0.1162663933647327,-0.2431978217773263,13.049112423068374,-27.288417347451016,13.010556799814587,-27.4697671249778,3.8452692635186128,408.2808007659992,404.5739922506233
8.621298,1.0,0.7,0.11708566196713976,-0.2448431040364079,13.229987089895335,-27.624748950429325,13.154795832583915,-27.773940555298154,3.869032497934559,412.8200805401714,409.0809197343314
8.666369,1.0,0.7,0.11789354503954755,-0.24652247866521845,13.343146768029085,-27.91179127359783,13.299787990378794,-28.079887413459307,3.8927364131645037,417.3093368863631,413.61282587108553
8.707819,1.0,0.7,0.11872430710782375,-0.24821327254352757,13.495568342061748,-28.13363441761743,13.445621773614283,-28.387504185284588,3.91647549300872,421.9114203069316,418.1696512543507
8.752712,1.0,0.7,0.11954371814823177,-0.24989272155144246,13.61160384634191,-28.491080143950143,13.592231647247917,-28.696888092013776,3.940224610023805,426.5009378297333,422.75151034259187
8.794108,1.0,0.7,0.12029453575616562,-0.2515209911029305,13.771846447667608,-28.83369838623232,13.73956473598732,-29.007917069272327,3.964051783494351,431.1704504731771,427.35852963956927
8.839003,1.0,0.7,0.1211367956721153,-0.25318905209831827,13.893182570932392,-29.121031002087353,13.887772094733927,-29.320493525205475,3.9878399590059295,435.8482342495735,431.99050565100316
