sample_idx,time_s,dt_s,step_event,zupt_stationary,zupt_confidence,gt_pos_x_m,gt_pos_y_m,kf_pos_x_m,kf_pos_y_m,kf_pos_z_m,kf_vel_x_mps,kf_vel_y_mps,bayes_pos_x_m,bayes_pos_y_m,bayes_pos_z_m,particle_pos_x_m,particle_pos_y_m,particle_pos_z_m,kf_error_2d_m,bayes_error_2d_m,particle_error_2d_m
483,22.367362,0.037928,0,False,0.0,4.284397,0.974696,0.9675231424292675,0.507414261094613,0.0,-0.022298864885377932,-0.011788205484382735,0.9958429318639862,0.4541549369726318,-0.0185658381186362,1.0638845740211034,0.3278113198452336,-2.1370488981578888e-05,3.349627503253249,3.3294970877523817,3.284837907005978
484,22.410263,0.042901,0,False,0.0,4.284397,0.974696,0.9625086900305999,0.5099740178651221,0.0,-0.02523270158579642,-0.009571830654583738,0.9615453319001932,0.519095570977562,-0.027720737897688523,1.0619517534800262,0.32830994486468273,2.343793787435324e-05,3.3542373894211375,3.3539402140048797,3.2866347985580284
485,22.458764,0.048501,0,False,0.0,4.284397,0.974696,0.9625000557534168,0.5125469699163022,0.0,-0.024352796406771154,-0.0073726086405075195,0.9975056610399979,0.46344976929222004,0.03155847838112838,1.060175930648226,0.32902048031530073,1.2935515453581332e-05,3.3538904326471504,3.326413591624347,3.2882363632762175
486,22.503805,0.045041,0,False,0.0,4.284397,0.974696,0.9655588915912264,0.5133060828587015,0.0,-0.021346961916761074,-0.006583353806206091,1.0019322932309775,0.4829659816419971,-0.04070438621547096,1.05898712126702,0.3296993213057945,-1.1632177569261764e-05,3.3507561900958986,3.3190921894606378,3.2892688551340488
487,22.545715,0.041909,0,False,0.0,4.284397,0.974696,0.9626674172101003,0.5144422743331052,0.0,-0.022787063222436118,-0.005564968410365101,0.9978569578132035,0.4434290465775326,0.04590061119096878,1.057516718620916,0.33047616447754175,-6.306363664472425e-05,3.353464016978834,3.3292026109409414,3.2905585463312668
488,22.587121,0.041406,0,False,0.0,4.284397,0.974696,0.9608205521165404,0.5162069176829696,0.0,-0.02343660742987172,-0.004130427514999873,0.9182733297730307,0.4961914663899884,-0.02932414265199759,1.0560148008124415,0.33139966053574316,-2.2798518099725452e-05,3.3550518093659223,3.399963992742808,3.2918508174580468
489,22.63238,0.045259,0,False,0.0,4.284397,0.974696,0.9626521361169068,0.517918363992365,0.0,-0.02135759096643501,-0.002765848315337334,0.9621051466749238,0.4402353335714914,0.007335414595146555,1.0548308815780174,0.332462681631879,-1.1516535400893445e-05,3.3530038397667297,3.3650068889423355,3.2928044200166764
490,22.674531,0.04215,0,False,0.0,4.284397,0.974696,0.9609831822602595,0.5174265940801067,0.0,-0.021908904629447664,-0.003034924154197581,0.9116254869003193,0.526184030750348,-0.008820648984682947,1.05346954520578,0.33349315806848556,3.719847166382834e-05,3.3547242380758764,3.4024624415468443,3.2939388735439685
491,22.716241,0.04171,0,False,0.0,4.284397,0.974696,0.9585935987249163,0.5152880888069556,0.0,-0.022964798932720226,-0.004474432528445611,0.9418688736829304,0.436971432779825,0.012603341558882177,1.0520534952832408,0.3340565344115957,9.781075659442978e-06,3.3573834890878453,3.38550468695774,3.2952182715798997
492,22.76144,0.045199,1,False,0.0,4.834088,0.993148,0.9557395107143526,0.5136357515762023,0.0,-0.024264337004303655,-0.005512070642492897,0.9728668102786739,0.49269036011448786,0.018945199532632313,1.0503595305467037,0.3344852919709787,4.805594577418579e-05,3.9078790923892095,3.893518579032692,3.840629856351626
493,22.802869,0.041429,0,False,0.0,4.834088,0.993148,0.9528761171492188,0.5119414272608803,0.0,-0.02559088168594028,-0.006558633919356207,0.9755492183619854,0.44034784202569927,0.021154040527545725,1.0486596533622765,0.33482248406764153,2.6054189055736437e-05,3.910928974710412,3.8979365751716624,3.842246771415914
494,22.84787,0.045001,0,False,0.0,4.834088,0.993148,0.9531101115931242,0.5128227100923246,0.0,-0.02460149576855014,-0.005718612949230564,0.9727118895012729,0.5387934637672859,0.016478789598545353,1.0470733543137403,0.3353433548999678,-1.2704586121299259e-05,3.910588415370248,3.8880153692244486,3.843720447399552
495,22.896245,0.048375,0,False,0.0,4.834088,0.993148,0.9515082108976022,0.514873960221239,0.0,-0.024896340259174577,-0.004051882989397937,0.9793312477083094,0.47525902812081444,0.02554384596120541,1.0452908222887491,0.33612147430069156,3.990726556280878e-06,3.9119268750671603,3.88939051864588,3.8453436659556512
496,22.934195,0.03795,0,False,0.0,4.834088,0.993148,0.9482436974698766,0.5147599379887687,0.0,-0.026550267331285484,-0.004023543866291817,1.1118088704021425,0.16821342058577243,8.178633276573926,1.0435969660755995,0.3367254398357049,2.219914986648299e-05,3.91518084912826,3.8125947829467948,3.8469095200893304
497,22.982637,0.048442,0,False,0.0,4.834088,0.993148,0.9455658775640831,0.5145554839603197,0.0,-0.02754547453783428,-0.004030370020568139,0.9295943656502953,0.5498938746004158,-0.0003527531390449584,1.0414260191975986,0.3373156355716756,2.4795836793291687e-05,3.9178635878604458,3.9295731015418354,3.848948036912897
498,23.027646,0.045009,0,False,0.0,4.834088,0.993148,0.9437420933260949,0.5131502817468327,0.0,-0.027963146141696177,-0.004905635409093084,0.9768689303286562,0.39270751649658603,0.004946467262548104,1.0394190741390101,0.3377683434722964,2.460212385940303e-05,3.9198455432711454,3.9036736192548274,3.8508485754552035
499,23.069098,0.041452,0,False,0.0,4.834088,0.993148,0.943252573176015,0.5130113028570109,0.0,-0.027485281203813498,-0.004859698199484293,0.9475177679680978,0.4593883996915846,0.021324334108327226,1.0375945402859061,0.338041888408231,-2.4447872892336805e-06,3.92034839862122,3.923050787262117,3.85259998015584
500,23.114262,0.045164,0,False,0.0,4.834088,0.993148,0.9418310694108059,0.5122566642015993,0.0,-0.027613908066122014,-0.005241780258395785,0.9792004123782535,0.43155556603329237,0.007561579045025563,1.0356627254104658,0.338437386841565,8.023729195228431e-06,3.921851666058469,3.895580107646211,3.85443647679176
501,23.162728,0.048465,0,False,0.0,4.834088,0.993148,0.9404927613563813,0.5120026213213762,0.0,-0.027613908066122014,-0.005241780258395785,0.9190921860477076,0.5353584760628881,0.035889501122248,1.0338083985571584,0.3388544894881269,-2.4466216421197616e-05,3.9232110264185454,3.9416701373263776,3.8561930769919335
502,23.208158,0.04543,0,False,0.0,4.834088,0.993148,0.9431915118506431,0.5082262344497158,0.0,-0.024785015090979457,-0.007773706551864202,0.975092214767754,0.45961432377383465,-0.008353069178961415,1.0324909468988694,0.33882373901921986,1.444279070306478e-06,3.920997908721376,3.895703614766869,3.8574966484308506
503,23.25059,0.042433,0,False,0.0,4.834088,0.993148,0.9435297189700423,0.5053685196804424,0.0,-0.02379285307834153,-0.009578169001668756,0.9734117292644634,0.4969867111488624,-0.07143856850247456,1.0312781445472592,0.33868213227861776,-4.167650223354588e-06,3.921016776234399,3.8924281999768313,3.858715896349562
504,23.292222,0.041632,0,False,0.0,4.834088,0.993148,0.9417059708417864,0.5036651329266932,0.0,-0.024386014843564407,-0.010506939907337044,0.9575414715361142,0.44214674987197483,-0.011423261898875875,1.0299305895978417,0.33850983477301805,-3.950141553220519e-05,3.9230385338500207,3.9155095919928553,3.8600731509246566
505,23.333766,0.041543,0,False,0.0,4.834088,0.993148,0.9418645685999727,0.501916219067046,0.0,-0.02355400086931529,-0.011438907873706133,0.9402494843660539,0.5014934137085687,-0.015883760967810318,1.028733052871108,0.33821313554462024,-4.945978847567253e-06,3.923099782383564,3.9247551029402805,3.8613036594287067
506,23.37165,0.037885,0,False,0.0,4.834088,0.993148,0.9414492560265507,0.5008583451467098,0.0,-0.023216685615178652,-0.011880508444855787,0.9609714490616255,0.44739623190959743,0.0032757207625569436,1.0276084340113438,0.337986520630859,-4.215237746995883e-05,3.923644414999755,3.911377865858344,3.8624504204375687
