sample_idx,time_s,dt_s,step_event,zupt_stationary,zupt_confidence,gt_pos_x_m,gt_pos_y_m,kf_pos_x_m,kf_pos_y_m,kf_pos_z_m,kf_vel_x_mps,kf_vel_y_mps,bayes_pos_x_m,bayes_pos_y_m,bayes_pos_z_m,particle_pos_x_m,particle_pos_y_m,particle_pos_z_m,kf_error_2d_m,bayes_error_2d_m,particle_error_2d_m
475,14.447742,0.028498,0,True,1.0,,,0.061677725431507735,0.18379000628754502,0.0,8.940513296987615e-05,0.0007695777685533688,0.13648020357021298,0.25849635856616937,-0.01585996050863627,0.06839683081008797,0.23836634402098814,-2.172986368945006e-05,,,
476,14.479549,0.031807,0,True,1.0,,,0.061680241018436444,0.1837871344632326,0.0,8.8255246174097e-05,0.0006737318851839163,0.2268248559101707,0.38900986409191773,4.067398855042308,0.0685348861501922,0.23912147780994775,2.738787321189704e-05,,,
477,14.518038,0.038489,0,True,1.0,,,0.06168381076648667,0.1837972483093454,0.0,8.898072783180351e-05,0.00060735948892913,0.043237020581755964,0.15804177067500477,0.024917442217242042,0.06872471318128817,0.24014560898918783,-2.792023508120748e-05,,,
478,14.550563,0.032525,0,True,1.0,,,0.061680993197351694,0.18380232463292792,0.0,6.278795201731414e-05,0.000540048371211133,0.08889182551536744,0.26843463253517647,-0.0067509110602339125,0.06882795865417049,0.24092956577990043,-6.479396162368506e-05,,,
479,14.585304,0.034742,0,True,1.0,,,0.06167850991461834,0.1838123854051213,0.0,3.910926137679669e-05,0.0004958774905790841,0.08468335669035888,0.217617325910772,4.433956340344667,0.06892335130627208,0.24178038627093443,2.750733780889884e-05,,,
480,14.612745,0.02744,0,True,1.0,,,0.06167791617640803,0.18381761707918193,0.0,3.037713887866076e-05,0.0004520035508124589,0.11090127578943866,0.6717280630060316,7.932161720305791,0.06898488095350483,0.24235790436110533,5.2464904163948815e-05,,,
481,14.643662,0.030917,0,True,1.0,,,0.06167873162468315,0.1838248292173191,0.0,2.968659413054211e-05,0.00041425934597775674,0.04683854853418145,0.179404937393124,-0.00840651479487368,0.069051359162781,0.24300303410436644,-3.4714836112003946e-05,,,
482,14.671599,0.027937,0,True,1.0,,,0.06167924954795775,0.1838275745518809,0.0,2.788751214018039e-05,0.00036326255247438855,0.12903565322660926,0.2846743020186191,-0.001588040932863046,0.06910358140494938,0.2435233768988222,-3.248086400128106e-05,,,
483,14.699917,0.028318,0,True,1.0,,,0.06167778497268955,0.18383125685145726,0.0,1.4354836001183827e-05,0.00032361488230250304,0.45383523442488155,0.5705695096939116,0.6338539703570608,0.06912977649883865,0.24401245621882975,-3.059464093029654e-05,,,
484,14.733275,0.033358,0,True,1.0,,,0.06167651210462881,0.18383880989086043,0.0,2.9983017582491263e-06,0.00030259602324963033,0.487607436479118,0.4349839973071411,0.16495092408261738,0.06916342991482907,0.24463221198329566,1.9448224720945954e-05,,,
