t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
2.623954,0.033011,0.024002,-0.021952,1.017922,1.018441,-0.002699,-0.001076,-0.001414,STILL,0,-0.000948,1.000000,0.250000,1
2.657518,0.033564,0.024972,-0.023881,1.020115,1.020700,-0.000237,0.001382,-0.000166,STILL,0,-0.000954,1.000000,0.250000,1
2.692373,0.034854,0.024487,-0.022434,1.019628,1.020168,0.000046,-0.002242,-0.001376,STILL,0,-0.001002,1.000000,0.250000,1
2.723734,0.031362,0.025457,-0.024123,1.019871,1.020474,-0.000861,0.000821,-0.000745,STILL,0,-0.001025,1.000000,0.250000,1
2.755102,0.031368,0.025214,-0.022193,1.021090,1.021642,-0.001413,0.000803,-0.000120,STILL,0,-0.001029,1.000000,0.250000,1
2.786470,0.031368,0.024487,-0.021952,1.021577,1.022106,-0.002277,0.001072,-0.000106,STILL,0,-0.001032,1.000000,0.250000,1
2.817832,0.031362,0.025457,-0.022434,1.019384,1.019948,-0.000109,-0.000720,0.000779,STILL,0,-0.001008,1.000000,0.250000,1
2.849198,0.031366,0.023275,-0.022193,1.020115,1.020622,0.001366,0.001991,-0.000734,STILL,0,-0.001031,1.000000,0.250000,1
2.880531,0.031333,0.026184,-0.021469,1.020846,1.021407,-0.000731,-0.002269,0.000497,STILL,0,-0.001015,1.000000,0.250000,1
2.914973,0.034442,0.024729,-0.022434,1.020846,1.021392,0.001365,-0.000997,-0.001001,STILL,0,-0.001050,1.000000,0.250000,1
2.946298,0.031325,0.025699,-0.022193,1.020115,1.020680,0.001004,0.000802,-0.000973,STILL,0,-0.001080,1.000000,0.250000,1
2.978352,0.032054,0.023760,-0.022193,1.020602,1.021120,-0.000221,0.001081,-0.000019,STILL,0,-0.001081,1.000000,0.250000,1
3.009792,0.031440,0.023517,-0.022916,1.020602,1.021130,0.000713,0.001085,-0.000629,STILL,0,-0.001101,1.000000,0.250000,1
3.043711,0.033919,0.024729,-0.022434,1.018897,1.019444,-0.000502,-0.001033,0.000893,STILL,0,-0.001070,1.000000,0.250000,1
3.080936,0.037224,0.023275,-0.021952,1.020602,1.021104,0.000130,0.000162,0.000288,STILL,0,-0.001060,1.000000,0.250000,1
3.112281,0.031346,0.024487,-0.021710,1.020115,1.020640,0.000101,0.000462,-0.000317,STILL,0,-0.001069,1.000000,0.250000,1
3.143724,0.031443,0.023760,-0.023158,1.019140,1.019680,0.000113,-0.000439,-0.001217,STILL,0,-0.001108,1.000000,0.250000,1
3.175047,0.031322,0.024002,-0.022916,1.021090,1.021629,-0.001087,0.000441,-0.000286,STILL,0,-0.001117,1.000000,0.250000,1
3.206371,0.031324,0.023517,-0.023158,1.020846,1.021379,0.001917,-0.000434,0.000604,STILL,0,-0.001098,1.000000,0.250000,1
3.237689,0.031319,0.024487,-0.022916,1.021090,1.021640,-0.000494,0.000532,0.000289,STILL,0,-0.001089,1.000000,0.250000,1
3.269004,0.031314,0.023760,-0.021469,1.022796,1.023297,-0.001353,0.000194,-0.001528,STILL,0,-0.001137,1.000000,0.250000,1
3.300319,0.031315,0.024245,-0.021952,1.020359,1.020883,0.000529,0.000798,0.000600,STILL,0,-0.001118,1.000000,0.250000,1
3.331634,0.031315,0.023760,-0.021952,1.019628,1.020141,0.001422,0.000211,0.000901,STILL,0,-0.001090,1.000000,0.250000,1
3.362948,0.031315,0.023517,-0.021710,1.021333,1.021835,0.000774,0.001400,-0.000626,STILL,0,-0.001109,1.000000,0.250000,1
3.394265,0.031317,0.023517,-0.021952,1.020602,1.021109,-0.001644,-0.001304,-0.001791,STILL,0,-0.001165,1.000000,0.250000,1
3.425586,0.031320,0.023760,-0.021469,1.022552,1.023053,0.000478,0.000506,-0.000835,STILL,0,-0.001191,1.000000,0.250000,1
3.456902,0.031316,0.023760,-0.021469,1.021577,1.022079,0.001688,0.001400,-0.001408,STILL,0,-0.001236,1.000000,0.250000,1
3.488236,0.031335,0.024245,-0.021710,1.018897,1.019416,-0.001005,0.002595,0.000395,STILL,0,-0.001223,1.000000,0.250000,1
3.519552,0.031316,0.024487,-0.022675,1.019628,1.020174,-0.000391,-0.001930,0.000387,STILL,0,-0.001211,1.000000,0.250000,1
3.550866,0.031313,0.023760,-0.022193,1.021821,1.022338,0.000232,0.001422,-0.001433,STILL,0,-0.001256,1.000000,0.250000,1
3.584378,0.033512,0.023275,-0.022675,1.019628,1.020145,0.001090,-0.000677,-0.002586,STILL,0,-0.001343,1.000000,0.250000,1
3.615692,0.031314,0.024487,-0.022193,1.023039,1.023573,0.001940,-0.000048,-0.000148,STILL,0,-0.001347,1.000000,0.250000,1
3.647007,0.031315,0.023517,-0.023399,1.020359,1.020898,-0.001433,-0.000037,-0.000168,STILL,0,-0.001353,1.000000,0.250000,1
3.678327,0.031320,0.023275,-0.023158,1.019628,1.020156,0.003094,-0.001247,-0.001349,STILL,0,-0.001395,1.000000,0.250000,1
3.709649,0.031322,0.024972,-0.021952,1.018653,1.019195,-0.000557,0.001172,0.000483,STILL,0,-0.001380,1.000000,0.250000,1
3.740972,0.031323,0.024972,-0.022434,1.021333,1.021885,-0.002666,0.001153,-0.000424,STILL,0,-0.001393,1.000000,0.250000,1
3.772295,0.031323,0.024002,-0.022675,1.019140,1.019675,0.000070,-0.000077,-0.000430,STILL,0,-0.001406,1.000000,0.250000,1
3.803617,0.031322,0.023275,-0.021469,1.021577,1.022068,0.000057,0.000842,-0.001291,STILL,0,-0.001447,1.000000,0.250000,1
3.834933,0.031316,0.024002,-0.022193,1.020359,1.020882,-0.000820,-0.001563,0.000803,STILL,0,-0.001422,1.000000,0.250000,1
3.866250,0.031317,0.023517,-0.023881,1.018653,1.019204,0.001294,-0.000060,0.000506,STILL,0,-0.001406,1.000000,0.250000,1
3.897567,0.031317,0.024729,-0.023158,1.021821,1.022382,-0.000831,0.002650,0.001716,STILL,0,-0.001352,1.000000,0.250000,1
3.928879,0.031312,0.023760,-0.022675,1.019871,1.020400,0.000093,-0.000426,-0.000423,STILL,0,-0.001365,1.000000,0.250000,1
3.962502,0.033623,0.024245,-0.022193,1.019628,1.020157,0.000675,-0.001038,-0.000409,STILL,0,-0.001379,1.000000,0.250000,1
3.996039,0.033537,0.023517,-0.023399,1.019871,1.020411,0.000077,-0.000708,0.001066,STILL,0,-0.001343,1.000000,0.250000,1
4.027351,0.031312,0.023275,-0.023399,1.020602,1.021136,0.000975,-0.000054,0.000740,STILL,0,-0.001320,1.000000,0.250000,1
4.058669,0.031318,0.024729,-0.021710,1.020846,1.021376,0.000648,0.002671,-0.000165,STILL,0,-0.001325,1.000000,0.250000,1
4.089998,0.031329,0.024245,-0.022675,1.018897,1.019437,0.000346,-0.000090,-0.000140,STILL,0,-0.001330,1.000000,0.250000,1
4.121322,0.031325,0.022790,-0.022675,1.021090,1.021596,0.000630,0.000218,-0.000746,STILL,0,-0.001353,1.000000,0.250000,1
4.152645,0.031323,0.024729,-0.022916,1.020602,1.021159,0.000604,-0.000120,0.000160,STILL,0,-0.001348,1.000000,0.250000,1
