t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
3.448877,0.031331,0.114677,-0.075745,1.009149,1.018464,-0.000031,0.008761,0.004865,STILL,0,-0.003433,1.000000,0.250000,1
3.480213,0.031336,0.116616,-0.084188,1.004031,1.014281,-0.012114,0.052910,0.008133,STILL,0,-0.003178,1.000000,0.250000,1
3.511828,0.031614,0.112495,-0.075986,1.010855,1.019929,-0.020212,-0.047763,0.000039,STILL,0,-0.003176,1.000000,0.250000,1
3.544493,0.032665,0.119041,-0.081293,1.001350,1.011673,0.009626,-0.005871,-0.005643,STILL,0,-0.003361,1.000000,0.250000,1
3.575830,0.031337,0.116132,-0.072609,1.007930,1.017193,-0.011524,0.032854,0.000465,STILL,0,-0.003346,1.000000,0.250000,1
3.607168,0.031338,0.088008,-0.073815,1.031569,1.037944,0.043676,-0.055894,0.002673,STILL,0,-0.003262,1.000000,0.250000,1
3.638516,0.031348,0.106919,-0.044627,1.009880,1.016504,-0.028830,0.059159,0.011036,STILL,0,-0.002916,1.000000,0.250000,1
3.669876,0.031360,0.104009,-0.081534,1.018653,1.027190,0.027215,-0.037757,-0.001488,STILL,0,-0.002963,1.000000,0.250000,1
3.701218,0.031342,0.121223,-0.074780,0.999401,1.009499,0.011563,-0.006103,0.004283,STILL,0,-0.002829,1.000000,0.250000,1
3.732556,0.031338,0.116859,-0.079846,1.010855,1.020715,-0.017311,0.032195,0.000476,STILL,0,-0.002814,1.000000,0.250000,1
3.766260,0.033704,0.119041,-0.076227,0.992577,1.002592,-0.031762,0.073008,0.007897,STILL,0,-0.002548,1.000000,0.250000,1
3.797725,0.031465,0.113950,-0.068026,1.027913,1.036445,-0.084080,0.139949,0.015272,STILL,0,-0.002067,1.000000,0.250000,1
3.836473,0.038748,0.107404,-0.075021,1.009149,1.017617,-0.029715,0.131973,0.013342,STILL,0,-0.001550,1.000000,0.250000,1
3.870378,0.033905,0.110798,-0.071885,1.008417,1.017030,-0.104314,0.171529,0.021495,STILL,0,-0.000822,1.000000,0.250000,1
3.902595,0.032217,0.101100,-0.083464,1.001838,1.010379,-0.133635,0.232921,0.026687,STILL,0,0.000038,1.000000,0.250000,1
3.936343,0.033748,0.078068,-0.093354,1.019140,1.026380,-0.104663,0.093872,0.013926,STILL,0,0.000508,1.000000,0.250000,1
3.967684,0.031341,0.065218,-0.089495,1.021090,1.027077,0.014156,0.001128,0.000527,STILL,0,0.000525,1.000000,0.250000,1
3.999104,0.031420,0.089463,-0.062960,0.992090,0.998103,-0.115570,0.286824,0.060460,STILL,0,0.002424,1.000000,0.250000,1
4.038058,0.038954,0.116616,-0.076227,1.009392,1.018962,-0.101520,0.196416,0.018004,STILL,0,0.003126,1.000000,0.250000,1
4.082708,0.044650,0.072491,-0.088289,1.013291,1.019710,-0.136034,0.168316,0.036941,STILL,0,0.004775,1.000000,0.250000,1
4.121964,0.039256,0.042428,-0.100350,1.011098,1.016951,-0.044859,0.169091,0.002387,STILL,0,0.004869,1.000000,0.250000,1
4.155061,0.033098,0.056005,-0.115065,1.017191,1.025209,0.031602,0.001331,-0.014588,STILL,0,0.004386,1.000000,0.250000,1
4.191062,0.036001,0.061339,-0.104210,1.013535,1.020723,0.002798,0.011002,-0.078608,STILL,0,0.001556,1.000000,0.250000,1
4.227963,0.036901,0.031033,-0.104692,1.012317,1.018189,0.065553,-0.161726,0.000104,STILL,0,0.001560,1.000000,0.250000,1
4.267057,0.039094,0.092857,-0.106381,1.009392,1.019221,0.019706,-0.053603,-0.006204,STILL,0,0.001317,1.000000,0.250000,1
4.301375,0.034318,0.063763,-0.096008,1.013779,1.020309,0.019239,-0.055846,-0.002409,STILL,0,0.001235,1.000000,0.250000,1
4.335061,0.033686,0.079037,-0.105657,1.021333,1.029822,0.045357,-0.068856,-0.006273,STILL,0,0.001023,1.000000,0.250000,1
4.367366,0.032305,0.077340,-0.103968,0.999888,1.008250,0.035260,-0.007483,-0.009251,STILL,0,0.000724,1.000000,0.250000,1
4.404424,0.037058,0.067642,-0.096249,1.013535,1.020340,0.001691,-0.005406,0.006393,STILL,0,0.000961,1.000000,0.250000,1
4.440840,0.036416,0.071522,-0.092390,1.009636,1.016374,-0.047620,0.079426,0.013781,STILL,0,0.001463,1.000000,0.250000,1
4.479342,0.038502,0.062066,-0.098179,1.017434,1.024043,-0.003499,0.017776,0.005645,STILL,0,0.001681,1.000000,0.250000,1
4.510738,0.031395,0.057460,-0.096973,1.003300,1.009612,-0.009058,0.047544,0.011447,STILL,0,0.002040,1.000000,0.250000,1
4.545977,0.035240,0.062309,-0.107104,1.010611,1.018179,0.012740,0.037114,0.006836,STILL,0,0.002281,1.000000,0.250000,1
4.591068,0.045091,0.076613,-0.090218,1.010367,1.017276,-0.031318,0.068322,0.020235,STILL,0,0.003193,1.000000,0.250000,1
4.625467,0.034399,0.068855,-0.110240,1.010123,1.018451,-0.041665,0.087992,0.009482,STILL,0,0.003519,1.000000,0.250000,1
4.656963,0.031496,0.058429,-0.117236,1.012804,1.021240,0.008410,0.028330,0.002375,STILL,0,0.003594,1.000000,0.250000,1
4.688427,0.031464,0.046065,-0.086600,1.016216,1.020939,0.028335,-0.032336,-0.012899,STILL,0,0.003188,1.000000,0.250000,1
4.723423,0.034997,0.054550,-0.091425,1.012073,1.017657,0.005131,0.011602,-0.001138,STILL,0,0.003149,1.000000,0.250000,1
4.754763,0.031340,0.058914,-0.105174,1.011829,1.018985,-0.014928,0.041747,0.010445,STILL,0,0.003476,1.000000,0.250000,1
4.787136,0.032373,0.051641,-0.098661,1.013535,1.019635,-0.020346,0.047732,0.014296,STILL,0,0.003939,1.000000,0.250000,1
4.818463,0.031327,0.050186,-0.099626,1.017434,1.023532,-0.001761,0.027694,0.005517,STILL,0,0.004112,1.000000,0.250000,1
4.849816,0.031353,0.048247,-0.095284,1.017678,1.023267,-0.012268,0.005838,0.004447,STILL,0,0.004251,1.000000,0.250000,1
4.881161,0.031345,0.043640,-0.096008,1.010367,1.015856,-0.026246,0.005457,0.007857,STILL,0,0.004497,1.000000,0.250000,1
4.912522,0.031361,0.046792,-0.101556,1.008661,1.014840,0.005383,-0.012902,0.000949,STILL,0,0.004527,1.000000,0.250000,1
4.943876,0.031354,0.062793,-0.105898,1.006468,1.013970,0.017279,0.004080,-0.004092,STILL,0,0.004399,1.000000,0.250000,1
4.975243,0.031368,0.047762,-0.084188,1.015972,1.020572,-0.055894,0.130446,0.031717,STILL,0,0.005394,1.000000,0.250000,1
5.006611,0.031368,0.052126,-0.105174,1.018409,1.025152,-0.073242,0.151214,0.030594,STILL,0,0.006353,1.000000,0.250000,1
5.039323,0.032712,0.025214,-0.099144,1.025233,1.030324,0.002437,0.034753,0.014920,STILL,0,0.006841,1.000000,0.250000,1
5.081956,0.042633,0.030063,-0.094078,1.000619,1.005482,0.040357,0.038695,0.015074,STILL,0,0.007484,1.000000,0.250000,1
5.113311,0.031355,0.025942,-0.076710,1.023770,1.026968,0.058958,0.035263,0.017214,STILL,0,0.008024,1.000000,0.250000,1
5.144655,0.031344,0.037579,-0.110240,1.008174,1.014879,0.035644,0.027304,-0.006372,STILL,0,0.007824,1.000000,0.250000,1
5.175979,0.031325,0.034912,-0.122784,1.014510,1.022509,0.028831,0.004679,0.004931,STILL,0,0.007978,1.000000,0.250000,1
5.207336,0.031357,0.021335,-0.094561,1.016460,1.021071,0.023986,-0.007408,-0.005052,STILL,0,0.007820,1.000000,0.250000,1
5.238698,0.031362,0.020365,-0.086118,1.017922,1.021761,0.014188,-0.017175,-0.019947,STILL,0,0.007194,1.000000,0.250000,1
5.270041,0.031342,0.028851,-0.088530,1.010611,1.014891,-0.007170,-0.021137,-0.026434,STILL,0,0.006366,1.000000,0.250000,1
5.301852,0.031811,0.028124,-0.126885,1.008905,1.017241,-0.006265,-0.051209,-0.008776,STILL,0,0.006087,1.000000,0.250000,1
5.333187,0.031335,0.022063,-0.078398,1.016947,1.020203,-0.012622,-0.040385,-0.016842,STILL,0,0.005559,1.000000,0.250000,1
5.364524,0.031337,0.034427,-0.102762,1.009149,1.014951,-0.005539,-0.032372,-0.038225,STILL,0,0.004361,1.000000,0.250000,1
5.396454,0.031930,0.030791,-0.115547,1.005493,1.012579,-0.002667,-0.018317,-0.004180,STILL,0,0.004228,1.000000,0.250000,1
5.427828,0.031374,0.016244,-0.101074,1.015485,1.020632,0.006466,-0.054547,-0.006860,STILL,0,0.004012,1.000000,0.250000,1
5.459174,0.031347,0.034185,-0.104451,1.014023,1.019961,0.014334,-0.067802,-0.009558,STILL,0,0.003713,1.000000,0.250000,1
5.490523,0.031349,0.026427,-0.085153,1.021333,1.025218,0.032018,-0.034076,-0.018764,STILL,0,0.003125,1.000000,0.250000,1
5.521869,0.031346,0.026427,-0.071162,1.008417,1.011271,-0.006804,0.038899,-0.012559,STILL,0,0.002731,1.000000,0.250000,1
5.553502,0.031633,0.038306,-0.097938,1.014997,1.020431,0.009874,0.039417,-0.009682,STILL,0,0.002425,1.000000,0.250000,1
5.588828,0.035327,0.032730,-0.104692,1.011098,1.017031,0.001517,0.023638,-0.000217,STILL,0,0.002417,1.000000,0.250000,1
5.620178,0.031350,0.032003,-0.114341,1.018653,1.025549,0.029596,-0.000616,-0.005494,STILL,0,0.002245,1.000000,0.250000,1
5.651515,0.031336,0.023517,-0.090942,1.013048,1.017393,0.004124,-0.019754,0.001460,STILL,0,0.002291,1.000000,0.250000,1
5.682861,0.031346,0.034912,-0.099144,1.017922,1.023334,-0.004157,0.012153,0.008553,STILL,0,0.002559,1.000000,0.250000,1
5.714227,0.031366,0.021578,-0.086600,1.013535,1.017457,-0.017524,-0.054217,0.001752,STILL,0,0.002614,1.000000,0.250000,1
5.745597,0.031369,0.007758,-0.058618,1.025233,1.026936,-0.040669,-0.098976,0.008056,STILL,0,0.002866,1.000000,0.250000,1
5.776913,0.031317,0.039519,-0.122302,1.015972,1.024070,0.011066,-0.135751,-0.078866,STILL,0,0.000396,1.000000,0.250000,1
5.808229,0.031316,0.020123,-0.160898,1.017678,1.030515,0.100252,-0.322981,-0.073369,STILL,0,-0.001901,1.000000,0.250000,1
5.839546,0.031317,0.047277,-0.094319,1.022552,1.027980,0.228228,-0.485166,-0.060540,STILL,0,-0.003797,1.000000,0.250000,1
5.870864,0.031318,0.083886,-0.083705,0.958460,0.965758,0.306114,-0.519374,-0.060235,STILL,0,-0.005683,1.000000,0.250000,1
5.902178,0.031314,0.090190,-0.044386,1.001594,1.006625,0.129879,-0.210582,-0.028165,STILL,0,-0.006565,1.000000,0.250000,1
5.933492,0.031314,0.091402,-0.043179,0.999644,1.004743,-0.023328,0.021788,0.014382,STILL,0,-0.006115,1.000000,0.250000,1
5.964806,0.031314,0.070067,-0.070197,1.024989,1.029776,-0.024428,0.023789,0.013557,STILL,0,-0.005691,1.000000,0.250000,1
5.996119,0.031314,0.086068,-0.085635,1.011098,1.018362,0.045645,-0.081924,0.000969,STILL,0,-0.005660,1.000000,0.250000,1
6.027437,0.031318,0.110070,-0.094078,1.002569,1.012971,0.020016,-0.036894,-0.000804,STILL,0,-0.005685,1.000000,0.250000,1
6.058750,0.031313,0.101100,-0.081534,1.007930,1.016264,-0.010282,0.002368,-0.001973,STILL,0,-0.005747,1.000000,0.250000,1
6.090063,0.031313,0.082432,-0.074056,1.021821,1.027812,0.007922,-0.023676,-0.007823,STILL,0,-0.005992,1.000000,0.250000,1
6.121378,0.031315,0.080007,-0.062478,1.014754,1.019818,0.006467,-0.018968,-0.004579,STILL,0,-0.006136,1.000000,0.250000,1
6.152695,0.031317,0.081704,-0.064407,1.014023,1.019346,0.000285,-0.006760,-0.001469,STILL,0,-0.006182,1.000000,0.250000,1
6.184007,0.031313,0.081947,-0.065372,1.013779,1.019184,-0.009278,-0.007736,0.009976,STILL,0,-0.005869,1.000000,0.250000,1
